gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3107245352	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1438625	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR		Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.287778	-43.508056							2003-11-01T00:00:00	1	11	2003	3129176	3129176	PRESERVED_SPECIMEN	JBRJ	RB	RB01438625	85	G. Heiden		CC_BY_4_0	Rio de Janeiro Botanical Garden	G.W.A Fernandes			2021-05-06T14:37:54.741Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE
3107240357	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1438619	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	Rio Pelotas	Santa Catarina	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-28.196944	-50.748055							2002-04-17T00:00:00	17	4	2002	3129176	3129176	PRESERVED_SPECIMEN	JBRJ	RB	RB01438619	35	G. Heiden		CC_BY_4_0	Rio de Janeiro Botanical Garden	G.W.A Fernandes			2021-05-06T14:37:55.788Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE
3097065160	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/74503346	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia		UY		Paysandú	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.972695	-56.821322							2021-04-18T12:50:21	18	4	2021	3129176	3129176	HUMAN_OBSERVATION	iNaturalist	Observations	74503346		marcelopereiramachin	2021-04-19T11:28:05	CC_BY_NC_4_0	marcelopereiramachin	marcelopereiramachin			2021-05-02T20:42:32.906Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3084919321	bb080d40-c63b-4529-bf21-d1782a81e024	BRA:UNESC:CRI:15479	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR	Oikos	Santa Catarina	PRESENT		2ccb1a0b-1194-4acf-9921-b5daad99cbb8	-28.713889	-49.411111			46.0	0.0			2017-01-01T00:00:00			2017	3129176	3129176	PRESERVED_SPECIMEN	UNESC	CRI	15479		Suelane F.	2017-02-01T00:00:00	CC_BY_NC_4_0	CRI - Herbário Pe. Dr. Raulino Reitz	Suelane F.; Renato C.			2021-04-24T13:50:48.749Z		GEODETIC_DATUM_ASSUMED_WGS84
3070482888	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39214597	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.008583	-60.624937	290.0						2020-02-22T17:39:00	22	2	2020	3129176	3129176	HUMAN_OBSERVATION	iNaturalist	Observations	39214597		Cesar Massi	2020-02-25T22:30:21	CC_BY_4_0	Leonel Roget	Leonel Roget			2021-05-02T20:14:47.113Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3058949106	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/70312366	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia		BR		Rio Grande do Sul	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-28.693072	-53.685527	61.0						2021-02-27T18:24:00	27	2	2021	3129176	3129176	HUMAN_OBSERVATION	iNaturalist	Observations	70312366		Fernando Sessegolo	2021-02-28T11:19:26	CC0_1_0	Fernando Sessegolo	Fernando Sessegolo			2021-05-02T20:35:27.107Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3058685692	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/69994821	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia		AR		Ciudad de Buenos Aires	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-34.55499	-58.442549	194.0						2021-02-22T14:32:00	22	2	2021	3129176	3129176	HUMAN_OBSERVATION	iNaturalist	Observations	69994821		Cesar Massi	2021-02-23T01:40:42	CC_BY_NC_4_0	María Belén Dri	María Belén Dri			2021-05-02T20:35:52.055Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3048831327	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1435832	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	Trilha de acesso à mata do Instituto Zoobotânico de Morro Azul (IZMA), parte alta	Rio de Janeiro	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1998-01-27T00:00:00	27	1	1998	3129176	3129176	PRESERVED_SPECIMEN	JBRJ	RB	RB01435832	106	G.Heiden	2007-09-20T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	L.J.S Pinto; M.C.F dos Santos, K.A Lúcio, M.G dos Santos, F. da C. Pinheiro, M.J Martins e H.F Santos			2021-05-06T14:37:54.350Z		INSTITUTION_MATCH_NONE
3046901318	2deca60c-f147-417f-9af4-b52067589e99	BRA:UFSM:SMDB:19788	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR	trilha que vai da portaria do Lageado (FCA) até o	São Paulo	PRESENT		c81b8388-574e-442d-a99d-d74b13fa59ce	-22.855278	-48.432778							2008-05-17T00:00:00	17	5	2008	3129176	3129176	PRESERVED_SPECIMEN	UFSM	SMDB	19788	59	Rampin, VT		CC_BY_NC_4_0	SMDB - Santa Maria Departamento de Biologia	Santos, LB dos			2021-05-08T12:15:59.678Z		GEODETIC_DATUM_ASSUMED_WGS84
3046045562	966426ce-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.		BR			PRESENT		c76cf030-2a95-11da-9cc1-b8a03c50a862													3129176	3129176	PRESERVED_SPECIMEN	SMF	FR	FR-0007132				CC_BY_4_0					2021-05-07T05:16:07.965Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
