"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_0.1_F_l_set1",1.2928357688593,0,0.04,6565.45296368093,220.924543159366,1.03378355588701e-51,8
"M_0.1_F_l_set2",1.1883109834228,0,0.08,6611.86427360634,267.335853084777,8.64497975422779e-62,4
"M_0.1_F_q_set1",1.49708295848428,0,0.02,6437.62935424017,93.1009337186033,5.9131469149707e-24,8
"M_0.1_F_q_set2",1.37329516996085,0,0.06,6512.63059543058,168.10217490902,3.06146402019426e-40,4
"M_0.1_F_p_set1",1.53994898623934,0,0.02,6395.35340108,50.8249805584355,8.96957436610446e-15,22
"M_0.1_F_p_set2",1.489721677671,0,0.02,6448.09434443463,103.565923913068,3.1669806438464e-26,6
"M_0.1_F_t_set1",1.46141883801581,0,0.32,NA,NA,NA,214
"M_0.1_F_t_set2",1.41870554471243,0,0.34,7271.9945853631,927.466164841534,3.92107902365214e-205,155
"M_0.1_F_h_set1",1.5713661804523,0,0.06,8098.83888719128,1754.31046666971,0,171
"M_0.1_F_h_set2",1.51647714884721,0,0.04,8128.89414342619,1784.36572290462,0,170
"M_0.1_F_lq_set1",1.5978396572773,0,0.02,6358.03740550655,13.5089849849855,1.1427744301859e-06,15
"M_0.1_F_lq_set2",1.55021389420689,0,0.02,6375.5048668517,30.9764463301426,1.84236410678892e-10,8
"M_0.1_F_lp_set1",1.58780975570217,0,0.02,6380.35385833029,35.8254378087295,1.63251337687388e-11,28
"M_0.1_F_lp_set2",1.58688943594454,0,0.02,6374.98221201019,30.4537914886232,2.39729649737255e-10,10
"M_0.1_F_lt_set1",1.45298880354425,0,0.32,NA,NA,NA,214
"M_0.1_F_lt_set2",1.42521544381726,0,0.34,7271.9945853631,927.466164841534,3.9480898006003e-205,155
"M_0.1_F_lh_set1",1.57759198733559,0,0.06,8098.83888719128,1754.31046666971,0,171
"M_0.1_F_lh_set2",1.52199306517453,0,0.04,8071.41089119569,1726.88247067413,0,169
"M_0.1_F_qp_set1",1.57246840869753,0,0.02,6406.43609284942,61.9076723278586,3.55885107704021e-17,28
"M_0.1_F_qp_set2",1.48597013859649,0,0.02,6448.21009192703,103.68167140547,3.02433645290912e-26,10
"M_0.1_F_qt_set1",1.46961456144666,0,0.32,NA,NA,NA,214
"M_0.1_F_qt_set2",1.40599314010335,0,0.34,7271.9945853631,927.466164841534,3.96761544474921e-205,155
