species,longitude,latitude
Baccharis dracunculifolia,-56.821322,-31.972695
Baccharis dracunculifolia,-53.685527,-28.693072
Baccharis dracunculifolia,-70.23625,-54.249444
Baccharis dracunculifolia,-43.896111,-21.709167
Baccharis dracunculifolia,-58.473494,-34.594555
Baccharis dracunculifolia,-60.674278,-32.911345
Baccharis dracunculifolia,-54.330028,-34.386056
Baccharis dracunculifolia,-49.307695,-23.000409
Baccharis dracunculifolia,-64.9208,-35.3869
Baccharis dracunculifolia,-61.5,-17.5
Baccharis dracunculifolia,-55.694345,-34.755875
Baccharis dracunculifolia,-50.305833,-27.791944
Baccharis dracunculifolia,-49.943333,-28.114444
Baccharis dracunculifolia,-58.63275,-38.464307
Baccharis dracunculifolia,-58.030925,-32.356533
Baccharis dracunculifolia,-66.833333,-18
Baccharis dracunculifolia,-50.418889,-24.582222
Baccharis dracunculifolia,-50.667131,-25.14789
Baccharis dracunculifolia,-64.190833,-31.390833
Baccharis dracunculifolia,-56.546111,-21.292222
Baccharis dracunculifolia,-54.966944,-22.246111
Baccharis dracunculifolia,-56.861667,-20.701111
Baccharis dracunculifolia,-46.6,-29.6
Baccharis dracunculifolia,-42.8415,-20.74411
Baccharis dracunculifolia,-54.64733384,-20.446882
Baccharis dracunculifolia,-52.460833,-31.265833
Baccharis dracunculifolia,-52.485833,-30.324444
Baccharis dracunculifolia,-48,-20
Baccharis dracunculifolia,-47.760261,-24.137344
Baccharis dracunculifolia,-46.90594,-19.52383
Baccharis dracunculifolia,-53.551389,-30.529167
Baccharis dracunculifolia,-53.245833,-31.621111
Baccharis dracunculifolia,-42.25,-22.5
Baccharis dracunculifolia,-41.386389,-20.643611
Baccharis dracunculifolia,-41.654444,-21.760556
Baccharis dracunculifolia,-57.86,-30.22
Baccharis dracunculifolia,-59.28,-29.98
Baccharis dracunculifolia,-56.23,-28.21
Baccharis dracunculifolia,-58.93,-28.96
Baccharis dracunculifolia,-65.12,-25.234722
Baccharis dracunculifolia,-45.136111,-22.516667
Baccharis dracunculifolia,-71.9,-13.166667
Baccharis dracunculifolia,-44.98527,-21.72222
Baccharis dracunculifolia,-65.98111,-27.40138
Baccharis dracunculifolia,-72.57416,-13.56416
Baccharis dracunculifolia,-56.438055,-22.121111
Baccharis dracunculifolia,-63.95,-19.8
Baccharis dracunculifolia,-65.599167,-18.799444
Baccharis dracunculifolia,-64.945278,-20.823611
Baccharis dracunculifolia,-65.137778,-20.101667
Baccharis dracunculifolia,-64.956111,-17.737778
Baccharis dracunculifolia,-64.3375,-19.013611
Baccharis dracunculifolia,-64.474722,-19.603889
