"species","longitude","latitude"
"Baccharis dracunculifolia",-64.956111,-17.737778
"Baccharis dracunculifolia",-63.83,-24.81
"Baccharis dracunculifolia",-47.5599,-15.5822
"Baccharis dracunculifolia",-65.03,-22.23
"Baccharis dracunculifolia",-43.178611,-22.505
"Baccharis dracunculifolia",-61.5,-17.5
"Baccharis dracunculifolia",-55.3683,-29.5928
"Baccharis dracunculifolia",-57.86,-30.22
"Baccharis dracunculifolia",-56.03333,-22.63333
"Baccharis dracunculifolia",-50.418889,-24.582222
"Baccharis dracunculifolia",-49.007222,-28.464444
"Baccharis dracunculifolia",-59.63,-26.82
"Baccharis dracunculifolia",-64.249444,-18.365556
"Baccharis dracunculifolia",-58.473494,-34.594555
"Baccharis dracunculifolia",-67.9,-16.31666
"Baccharis dracunculifolia",-47.140556,-18.9325
"Baccharis dracunculifolia",-52.485833,-30.324444
"Baccharis dracunculifolia",-56.004167,-28.660833
"Baccharis dracunculifolia",-48.3658,-21.6033
"Baccharis dracunculifolia",-59.47,-28.61
"Baccharis dracunculifolia",-42.8415,-20.74411
"Baccharis dracunculifolia",-65.294,-18.24
"Baccharis dracunculifolia",-43.666667,-19.816667
"Baccharis dracunculifolia",-53.08972,-10.77306
"Baccharis dracunculifolia",-49.92062007,-20.65380661
"Baccharis dracunculifolia",-64.67083,-16.71472
"Baccharis dracunculifolia",-65.23,-26.84
"Baccharis dracunculifolia",-63.639167,-21.663889
"Baccharis dracunculifolia",-53.88,-26.37
"Baccharis dracunculifolia",-53.245833,-31.621111
"Baccharis dracunculifolia",-51.2606,-21.5622
"Baccharis dracunculifolia",-59.2,-37.33
"Baccharis dracunculifolia",-58.11,-31.43
"Baccharis dracunculifolia",-66.833333,-18
"Baccharis dracunculifolia",-46.248055,-21.393611
"Baccharis dracunculifolia",-47.666667,-23.4
"Baccharis dracunculifolia",-74.37556,-9.16389
"Baccharis dracunculifolia",-53.2669,-29.6828
"Baccharis dracunculifolia",-60.05,-31.67
"Baccharis dracunculifolia",-46.90594,-19.52383
"Baccharis dracunculifolia",-64.190833,-31.390833
"Baccharis dracunculifolia",-52.822778,-22.599167
"Baccharis dracunculifolia",-53.0607,-25.4149
"Baccharis dracunculifolia",-47.760261,-24.137344
"Baccharis dracunculifolia",-58.93,-28.46
"Baccharis dracunculifolia",-50.378889,-22.590278
"Baccharis dracunculifolia",-50.667131,-25.14789
"Baccharis dracunculifolia",-54.19362,-29.461052
"Baccharis dracunculifolia",-43.674444,-18.259444
"Baccharis dracunculifolia",-43.649722,-22.991667
